"","Brewery","City","State","Beer","Style","ABV","IBU","Ounces"
"1","King Street Brewing Company","Anchorage"," AK","Amber Ale","American Amber / Red Ale",0.051,NA,12
"2","King Street Brewing Company","Anchorage"," AK","King Street Blonde Ale","American Blonde Ale",0.049,NA,12
"3","King Street Brewing Company","Anchorage"," AK","King Street Pilsner","Czech Pilsener",0.055,NA,12
"4","King Street Brewing Company","Anchorage"," AK","King Street IPA","American IPA",0.06,70,12
"5","King Street Brewing Company","Anchorage"," AK","King Street Hefeweizen","Hefeweizen",0.057,10,12
"6","Midnight Sun Brewing Company","Anchorage"," AK","Pleasure Town IPA","American IPA",0.063,61,12
"7","Midnight Sun Brewing Company","Anchorage"," AK","Kodiak Brown Ale","American Brown Ale",0.05,24,12
"8","Midnight Sun Brewing Company","Anchorage"," AK","Sockeye Red IPA","American IPA",0.057,70,12
"9","Midnight Sun Brewing Company","Anchorage"," AK","Snowshoe White Ale","Witbier",0.048,12,12
"10","Midnight Sun Brewing Company","Anchorage"," AK","Pleasure Town","American IPA",0.063,61,12
"11","Alaskan Brewing Company","Juneau"," AK","Alaskan Amber","Altbier",0.053,18,12
"12","Alaskan Brewing Company","Juneau"," AK","Freeride APA","American Pale Ale (APA)",0.053,40,12
"13","Denali Brewing Company","Talkeetna"," AK","Single Engine Red","Irish Red Ale",0.058,46,12
"14","Denali Brewing Company","Talkeetna"," AK","Chuli Stout","Irish Dry Stout",0.059,55,12
"15","Denali Brewing Company","Talkeetna"," AK","Mother Ale","American Blonde Ale",0.056,46,12
"16","Denali Brewing Company","Talkeetna"," AK","Twister Creek India Pale Ale","American IPA",0.065,71,12
"17","Kenai River Brewing Company","Soldotna"," AK","Skilak Scottish Ale","Scottish Ale",0.058,NA,12
"18","Kenai River Brewing Company","Soldotna"," AK","Peninsula Brewers Reserve (PBR)","American Blonde Ale",0.05,15,12
"19","Kenai River Brewing Company","Soldotna"," AK","Skilak Scottish Ale (2011)","Scottish Ale",0.058,NA,12
"20","Kenai River Brewing Company","Soldotna"," AK","Sunken Island IPA","American IPA",0.068,NA,12
"21","Broken Tooth Brewing Company","Anchorage"," AK","Chugach Session Ale","Cream Ale",0.048,NA,12
"22","Broken Tooth Brewing Company","Anchorage"," AK","Polar Pale Ale","American Pale Ale (APA)",0.052,17,12
"23","Broken Tooth Brewing Company","Anchorage"," AK","Northern Lights Amber Ale","American Amber / Red Ale",0.05,15,12
"24","Broken Tooth Brewing Company","Anchorage"," AK","Fairweather IPA","American IPA",0.061,64,12
"25","Sleeping Lady Brewing Company","Anchorage"," AK","Urban Wilderness Pale Ale","English Pale Ale",0.049,NA,12
"26","Back Forty Beer Company","Gadsden"," AL","Naked Pig Pale Ale","American Pale Ale (APA)",0.06,43,12
"27","Back Forty Beer Company","Gadsden"," AL","Truck Stop Honey Brown Ale","English Brown Ale",0.06,NA,12
"28","Straight to Ale","Huntsville"," AL","Monkeynaut IPA","American IPA",0.072,70,12
"29","Straight to Ale","Huntsville"," AL","Sand Island Lighthouse","Kölsch",0.051,25,12
"30","Straight to Ale","Huntsville"," AL","Lily Flagg Milk Stout","Milk / Sweet Stout",0.05,30,12
"31","Good People Brewing Company","Birmingham"," AL","Snake Handler Double IPA","American Double / Imperial IPA",0.093,103,12
"32","Good People Brewing Company","Birmingham"," AL","Good People Pale Ale","American Pale Ale (APA)",0.056,36,12
"33","Good People Brewing Company","Birmingham"," AL","Good People IPA","American IPA",0.06,64,12
